"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"1","Killed Casualties (Number)","2005","All road users","Male","All ages",286
"2","Injured Cassualties (Number)","2005","All road users","Male","All ages",4688
"3","All Killed and Injured Casualties (Number)","2005","All road users","Male","All ages",4974
"4","Killed Casualties (Number)","2006","All road users","Male","All ages",262
"5","Injured Cassualties (Number)","2006","All road users","Male","All ages",4466
"6","All Killed and Injured Casualties (Number)","2006","All road users","Male","All ages",4728
"7","Killed Casualties (Number)","2007","All road users","Male","All ages",250
"8","Injured Cassualties (Number)","2007","All road users","Male","All ages",4124
"9","All Killed and Injured Casualties (Number)","2007","All road users","Male","All ages",4374
"10","Killed Casualties (Number)","2008","All road users","Male","All ages",199
"11","Injured Cassualties (Number)","2008","All road users","Male","All ages",5236
"12","All Killed and Injured Casualties (Number)","2008","All road users","Male","All ages",5435
"13","Killed Casualties (Number)","2009","All road users","Male","All ages",182
"14","Injured Cassualties (Number)","2009","All road users","Male","All ages",5242
"15","All Killed and Injured Casualties (Number)","2009","All road users","Male","All ages",5424
"16","Killed Casualties (Number)","2010","All road users","Male","All ages",161
"17","Injured Cassualties (Number)","2010","All road users","Male","All ages",4410
"18","All Killed and Injured Casualties (Number)","2010","All road users","Male","All ages",4571
"19","Killed Casualties (Number)","2011","All road users","Male","All ages",130
"20","Injured Cassualties (Number)","2011","All road users","Male","All ages",3969
"21","All Killed and Injured Casualties (Number)","2011","All road users","Male","All ages",4099
"22","Killed Casualties (Number)","2012","All road users","Male","All ages",108
"23","Injured Cassualties (Number)","2012","All road users","Male","All ages",4425
"24","All Killed and Injured Casualties (Number)","2012","All road users","Male","All ages",4533
"25","Killed Casualties (Number)","2013","All road users","Male","All ages",142
"26","Injured Cassualties (Number)","2013","All road users","Male","All ages",3816
"27","All Killed and Injured Casualties (Number)","2013","All road users","Male","All ages",3958
"28","Killed Casualties (Number)","2014","All road users","Male","All ages",132
"29","Injured Cassualties (Number)","2014","All road users","Male","All ages",4512
"30","All Killed and Injured Casualties (Number)","2014","All road users","Male","All ages",4644
"31","Killed Casualties (Number)","2015","All road users","Male","All ages",122
"32","Injured Cassualties (Number)","2015","All road users","Male","All ages",4375
"33","All Killed and Injured Casualties (Number)","2015","All road users","Male","All ages",4497
"34","Killed Casualties (Number)","2016","All road users","Male","All ages",138
"35","Injured Cassualties (Number)","2016","All road users","Male","All ages",4344
"36","All Killed and Injured Casualties (Number)","2016","All road users","Male","All ages",4447
"37","Killed Casualties (Number)","2017","All road users","Male","All ages",116
"38","Injured Cassualties (Number)","2017","All road users","Male","All ages",4476
"39","All Killed and Injured Casualties (Number)","2017","All road users","Male","All ages",4592
"40","Killed Casualties (Number)","2018","All road users","Male","All ages",109
"41","Injured Cassualties (Number)","2018","All road users","Male","All ages",4581
"42","All Killed and Injured Casualties (Number)","2018","All road users","Male","All ages",4690
"43","Killed Casualties (Number)","2005","Pedestrians","Male","All ages",51
"44","Injured Cassualties (Number)","2005","Pedestrians","Male","All ages",512
"45","All Killed and Injured Casualties (Number)","2005","Pedestrians","Male","All ages",563
"46","Killed Casualties (Number)","2006","Pedestrians","Male","All ages",48
"47","Injured Cassualties (Number)","2006","Pedestrians","Male","All ages",492
"48","All Killed and Injured Casualties (Number)","2006","Pedestrians","Male","All ages",540
"49","Killed Casualties (Number)","2007","Pedestrians","Male","All ages",52
"50","Injured Cassualties (Number)","2007","Pedestrians","Male","All ages",487
"51","All Killed and Injured Casualties (Number)","2007","Pedestrians","Male","All ages",539
"52","Killed Casualties (Number)","2008","Pedestrians","Male","All ages",31
"53","Injured Cassualties (Number)","2008","Pedestrians","Male","All ages",612
"54","All Killed and Injured Casualties (Number)","2008","Pedestrians","Male","All ages",643
"55","Killed Casualties (Number)","2009","Pedestrians","Male","All ages",26
"56","Injured Cassualties (Number)","2009","Pedestrians","Male","All ages",592
"57","All Killed and Injured Casualties (Number)","2009","Pedestrians","Male","All ages",618
"58","Killed Casualties (Number)","2010","Pedestrians","Male","All ages",32
"59","Injured Cassualties (Number)","2010","Pedestrians","Male","All ages",512
"60","All Killed and Injured Casualties (Number)","2010","Pedestrians","Male","All ages",544
"61","Killed Casualties (Number)","2011","Pedestrians","Male","All ages",33
"62","Injured Cassualties (Number)","2011","Pedestrians","Male","All ages",534
"63","All Killed and Injured Casualties (Number)","2011","Pedestrians","Male","All ages",567
"64","Killed Casualties (Number)","2012","Pedestrians","Male","All ages",20
"65","Injured Cassualties (Number)","2012","Pedestrians","Male","All ages",572
"66","All Killed and Injured Casualties (Number)","2012","Pedestrians","Male","All ages",592
"67","Killed Casualties (Number)","2013","Pedestrians","Male","All ages",18
"68","Injured Cassualties (Number)","2013","Pedestrians","Male","All ages",499
"69","All Killed and Injured Casualties (Number)","2013","Pedestrians","Male","All ages",517
"70","Killed Casualties (Number)","2014","Pedestrians","Male","All ages",20
"71","Injured Cassualties (Number)","2014","Pedestrians","Male","All ages",604
"72","All Killed and Injured Casualties (Number)","2014","Pedestrians","Male","All ages",624
"73","Killed Casualties (Number)","2015","Pedestrians","Male","All ages",22
"74","Injured Cassualties (Number)","2015","Pedestrians","Male","All ages",557
"75","All Killed and Injured Casualties (Number)","2015","Pedestrians","Male","All ages",579
"76","Killed Casualties (Number)","2016","Pedestrians","Male","All ages",25
"77","Injured Cassualties (Number)","2016","Pedestrians","Male","All ages",540
"78","All Killed and Injured Casualties (Number)","2016","Pedestrians","Male","All ages",565
"79","Killed Casualties (Number)","2017","Pedestrians","Male","All ages",24
"80","Injured Cassualties (Number)","2017","Pedestrians","Male","All ages",630
"81","All Killed and Injured Casualties (Number)","2017","Pedestrians","Male","All ages",654
"82","Killed Casualties (Number)","2018","Pedestrians","Male","All ages",29
"83","Injured Cassualties (Number)","2018","Pedestrians","Male","All ages",587
"84","All Killed and Injured Casualties (Number)","2018","Pedestrians","Male","All ages",616
"85","Killed Casualties (Number)","2005","Pedal cyclists","Male","All ages",7
"86","Injured Cassualties (Number)","2005","Pedal cyclists","Male","All ages",145
"87","All Killed and Injured Casualties (Number)","2005","Pedal cyclists","Male","All ages",152
"88","Killed Casualties (Number)","2006","Pedal cyclists","Male","All ages",7
"89","Injured Cassualties (Number)","2006","Pedal cyclists","Male","All ages",147
"90","All Killed and Injured Casualties (Number)","2006","Pedal cyclists","Male","All ages",154
"91","Killed Casualties (Number)","2007","Pedal cyclists","Male","All ages",10
"92","Injured Cassualties (Number)","2007","Pedal cyclists","Male","All ages",187
"93","All Killed and Injured Casualties (Number)","2007","Pedal cyclists","Male","All ages",197
"94","Killed Casualties (Number)","2008","Pedal cyclists","Male","All ages",11
"95","Injured Cassualties (Number)","2008","Pedal cyclists","Male","All ages",238
"96","All Killed and Injured Casualties (Number)","2008","Pedal cyclists","Male","All ages",249
"97","Killed Casualties (Number)","2009","Pedal cyclists","Male","All ages",7
"98","Injured Cassualties (Number)","2009","Pedal cyclists","Male","All ages",277
"99","All Killed and Injured Casualties (Number)","2009","Pedal cyclists","Male","All ages",284
"100","Killed Casualties (Number)","2010","Pedal cyclists","Male","All ages",4
"101","Injured Cassualties (Number)","2010","Pedal cyclists","Male","All ages",287
"102","All Killed and Injured Casualties (Number)","2010","Pedal cyclists","Male","All ages",291
"103","Killed Casualties (Number)","2011","Pedal cyclists","Male","All ages",9
"104","Injured Cassualties (Number)","2011","Pedal cyclists","Male","All ages",289
"105","All Killed and Injured Casualties (Number)","2011","Pedal cyclists","Male","All ages",298
"106","Killed Casualties (Number)","2012","Pedal cyclists","Male","All ages",4
